starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 19 14:40:59 2021	1624106459	1	53	54	38
Sat Jun 19 14:41:02 2021	1624106462	1	96	97	96
Sat Jun 19 14:40:59 2021	1624106459	0	97	97	97
Sat Jun 19 14:41:01 2021	1624106461	0	139	139	139
Sat Jun 19 14:40:59 2021	1624106459	0	142	142	142
Sat Jun 19 14:41:00 2021	1624106460	1	149	150	149
Sat Jun 19 14:41:02 2021	1624106462	0	155	155	154
Sat Jun 19 14:41:00 2021	1624106460	0	156	156	156
Sat Jun 19 14:41:03 2021	1624106463	0	157	157	156
Sat Jun 19 14:41:03 2021	1624106463	0	157	157	156
Sat Jun 19 14:41:01 2021	1624106461	0	173	173	173
Sat Jun 19 14:40:59 2021	1624106459	2	175	177	175
Sat Jun 19 14:40:59 2021	1624106459	0	177	177	177
Sat Jun 19 14:41:03 2021	1624106463	0	178	178	178
Sat Jun 19 14:41:04 2021	1624106464	1	193	194	193
Sat Jun 19 14:41:03 2021	1624106463	2	198	200	198
Sat Jun 19 14:41:02 2021	1624106462	0	212	212	212
Sat Jun 19 14:41:02 2021	1624106462	0	214	214	214
Sat Jun 19 14:41:02 2021	1624106462	1	214	215	214
Sat Jun 19 14:41:02 2021	1624106462	2	213	215	213
Sat Jun 19 14:41:00 2021	1624106460	0	231	231	231
Sat Jun 19 14:41:01 2021	1624106461	0	231	231	231
Sat Jun 19 14:41:01 2021	1624106461	0	232	232	232
Sat Jun 19 14:40:59 2021	1624106459	1	238	239	238
Sat Jun 19 14:41:03 2021	1624106463	2	241	243	241
Sat Jun 19 14:41:03 2021	1624106463	1	243	244	243
Sat Jun 19 14:41:03 2021	1624106463	0	247	247	247
Sat Jun 19 14:40:59 2021	1624106459	0	248	248	248
Sat Jun 19 14:40:59 2021	1624106459	0	248	248	248
Sat Jun 19 14:41:03 2021	1624106463	0	254	254	253
Sat Jun 19 14:41:00 2021	1624106460	0	278	278	278
Sat Jun 19 14:41:03 2021	1624106463	0	279	279	278
Sat Jun 19 14:41:01 2021	1624106461	1	279	280	277
Sat Jun 19 14:40:59 2021	1624106459	0	283	283	282
Sat Jun 19 14:40:59 2021	1624106459	1	282	283	281
Sat Jun 19 14:41:03 2021	1624106463	1	292	293	292
Sat Jun 19 14:41:02 2021	1624106462	0	301	301	301
Sat Jun 19 14:41:01 2021	1624106461	0	306	306	306
Sat Jun 19 14:41:03 2021	1624106463	0	308	308	308
Sat Jun 19 14:41:01 2021	1624106461	1	308	309	308
Sat Jun 19 14:41:02 2021	1624106462	1	310	311	310
Sat Jun 19 14:41:00 2021	1624106460	1	318	319	318
Sat Jun 19 14:41:01 2021	1624106461	1	319	320	318
Sat Jun 19 14:40:59 2021	1624106459	0	321	321	321
Sat Jun 19 14:40:59 2021	1624106459	0	324	324	320
Sat Jun 19 14:41:02 2021	1624106462	0	325	325	324
Sat Jun 19 14:41:02 2021	1624106462	0	325	325	325
Sat Jun 19 14:41:00 2021	1624106460	0	333	333	333
Sat Jun 19 14:41:01 2021	1624106461	0	334	334	334
Sat Jun 19 14:41:01 2021	1624106461	0	339	339	339
Sat Jun 19 14:41:02 2021	1624106462	2	341	343	341
Sat Jun 19 14:41:00 2021	1624106460	1	346	347	346
Sat Jun 19 14:40:59 2021	1624106459	0	347	347	347
Sat Jun 19 14:41:02 2021	1624106462	0	351	351	350
Sat Jun 19 14:40:59 2021	1624106459	1	352	353	352
Sat Jun 19 14:41:00 2021	1624106460	1	353	354	353
Sat Jun 19 14:41:02 2021	1624106462	0	355	355	355
Sat Jun 19 14:41:02 2021	1624106462	0	363	363	363
Sat Jun 19 14:40:59 2021	1624106459	1	362	363	359
Sat Jun 19 14:41:00 2021	1624106460	1	362	363	362
Sat Jun 19 14:41:00 2021	1624106460	2	363	365	363
Sat Jun 19 14:41:03 2021	1624106463	0	366	366	366
Sat Jun 19 14:41:00 2021	1624106460	1	365	366	365
Sat Jun 19 14:40:59 2021	1624106459	0	367	367	367
Sat Jun 19 14:41:04 2021	1624106464	1	371	372	371
Sat Jun 19 14:41:01 2021	1624106461	1	379	380	379
Sat Jun 19 14:41:00 2021	1624106460	1	382	383	382
Sat Jun 19 14:41:00 2021	1624106460	1	390	391	389
Sat Jun 19 14:41:00 2021	1624106460	0	398	398	398
Sat Jun 19 14:41:02 2021	1624106462	0	398	398	396
Sat Jun 19 14:41:02 2021	1624106462	0	398	398	398
Sat Jun 19 14:41:02 2021	1624106462	0	399	399	399
Sat Jun 19 14:40:59 2021	1624106459	0	399	399	399
Sat Jun 19 14:41:03 2021	1624106463	0	399	399	399
Sat Jun 19 14:41:00 2021	1624106460	0	399	399	398
Sat Jun 19 14:41:02 2021	1624106462	0	401	401	401
Sat Jun 19 14:41:01 2021	1624106461	0	402	402	402
Sat Jun 19 14:41:03 2021	1624106463	0	403	403	403
Sat Jun 19 14:41:02 2021	1624106462	0	405	405	403
Sat Jun 19 14:41:03 2021	1624106463	0	409	409	408
Sat Jun 19 14:41:03 2021	1624106463	0	410	410	410
Sat Jun 19 14:41:00 2021	1624106460	0	410	410	410
Sat Jun 19 14:41:03 2021	1624106463	1	413	414	413
Sat Jun 19 14:40:59 2021	1624106459	0	417	417	417
Sat Jun 19 14:41:00 2021	1624106460	0	425	425	423
Sat Jun 19 14:41:03 2021	1624106463	2	428	430	428
Sat Jun 19 14:41:00 2021	1624106460	2	429	431	429
