Percentage served,Time in ms
0,45.058
1,45.597
2,45.796
3,46.115
4,46.496
5,46.844
6,47.613
7,49.000
8,49.169
9,49.436
10,49.494
11,49.523
12,50.403
13,50.410
14,50.999
15,51.082
16,51.098
17,51.346
18,51.747
19,51.958
20,51.999
21,52.536
22,52.546
23,52.653
24,52.834
25,52.909
26,52.955
27,53.111
28,53.161
29,53.468
30,53.586
31,53.683
32,53.716
33,53.982
34,54.081
35,54.152
36,54.227
37,54.290
38,54.297
39,54.375
40,54.447
41,54.603
42,54.758
43,55.037
44,55.467
45,55.504
46,55.718
47,55.770
48,55.782
49,55.997
50,55.997
51,56.001
52,56.001
53,56.103
54,56.326
55,56.369
56,56.433
57,56.486
58,56.697
59,56.861
60,56.891
61,56.932
62,57.272
63,57.654
64,57.828
65,57.981
66,57.994
67,58.383
68,58.946
69,59.609
70,59.816
71,60.122
72,60.165
73,60.343
74,60.369
75,60.457
76,60.562
77,60.569
78,60.839
79,61.023
80,61.312
81,61.998
82,62.287
83,62.337
84,63.000
85,64.411
86,64.489
87,64.547
88,64.814
89,64.940
90,65.000
91,65.530
92,65.714
93,67.789
94,67.923
95,68.429
96,69.011
97,70.515
98,70.808
99,76.332
100,76.332
