starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 19 15:12:57 2021	1624108377	22	32	54	31
Sat Jun 19 15:12:57 2021	1624108377	27	33	60	32
Sat Jun 19 15:12:57 2021	1624108377	34	51	85	51
Sat Jun 19 15:12:57 2021	1624108377	27	85	112	85
Sat Jun 19 15:12:57 2021	1624108377	23	113	137	113
Sat Jun 19 15:12:57 2021	1624108377	30	137	167	137
Sat Jun 19 15:12:57 2021	1624108377	28	167	195	55
Sat Jun 19 15:12:57 2021	1624108377	27	195	221	83
Sat Jun 19 15:12:46 2021	1624108366	27	220	247	84
Sat Jun 19 15:12:46 2021	1624108366	28	220	248	56
Sat Jun 19 15:12:57 2021	1624108377	28	220	249	109
Sat Jun 19 15:12:46 2021	1624108366	24	228	252	98
Sat Jun 19 15:12:46 2021	1624108366	28	226	254	121
Sat Jun 19 15:12:46 2021	1624108366	23	234	257	234
Sat Jun 19 15:12:46 2021	1624108366	24	234	257	74
Sat Jun 19 15:12:46 2021	1624108366	25	233	258	49
Sat Jun 19 15:12:52 2021	1624108372	24	234	258	77
Sat Jun 19 15:12:48 2021	1624108368	25	234	259	155
Sat Jun 19 15:12:52 2021	1624108372	27	232	259	207
Sat Jun 19 15:12:48 2021	1624108368	27	232	259	79
Sat Jun 19 15:12:52 2021	1624108372	26	234	259	48
Sat Jun 19 15:12:48 2021	1624108368	25	235	259	235
Sat Jun 19 15:12:52 2021	1624108372	27	234	261	102
Sat Jun 19 15:12:52 2021	1624108372	26	235	261	74
Sat Jun 19 15:12:52 2021	1624108372	26	235	261	101
Sat Jun 19 15:12:44 2021	1624108364	23	238	261	238
Sat Jun 19 15:12:52 2021	1624108372	26	236	261	210
Sat Jun 19 15:12:44 2021	1624108364	25	237	261	237
Sat Jun 19 15:12:52 2021	1624108372	27	235	262	235
Sat Jun 19 15:12:51 2021	1624108371	25	237	262	156
Sat Jun 19 15:12:44 2021	1624108364	27	235	262	183
Sat Jun 19 15:12:48 2021	1624108368	26	236	262	208
Sat Jun 19 15:12:56 2021	1624108376	24	238	262	160
Sat Jun 19 15:12:52 2021	1624108372	23	239	262	158
Sat Jun 19 15:12:52 2021	1624108372	26	237	262	181
Sat Jun 19 15:12:44 2021	1624108364	24	238	262	160
Sat Jun 19 15:12:52 2021	1624108372	22	241	262	213
Sat Jun 19 15:12:48 2021	1624108368	27	236	263	128
Sat Jun 19 15:12:56 2021	1624108376	28	235	263	184
Sat Jun 19 15:12:48 2021	1624108368	24	238	263	79
Sat Jun 19 15:12:44 2021	1624108364	25	238	263	158
Sat Jun 19 15:12:51 2021	1624108371	27	236	263	181
Sat Jun 19 15:12:46 2021	1624108366	36	227	263	149
Sat Jun 19 15:12:52 2021	1624108372	29	234	263	128
Sat Jun 19 15:12:48 2021	1624108368	25	238	263	103
Sat Jun 19 15:12:44 2021	1624108364	29	235	264	235
Sat Jun 19 15:12:51 2021	1624108371	24	239	264	131
Sat Jun 19 15:12:46 2021	1624108366	25	239	264	209
Sat Jun 19 15:12:52 2021	1624108372	25	239	264	185
Sat Jun 19 15:12:52 2021	1624108372	29	235	264	48
Sat Jun 19 15:12:44 2021	1624108364	25	239	264	212
Sat Jun 19 15:12:52 2021	1624108372	31	233	264	233
Sat Jun 19 15:12:52 2021	1624108372	28	236	264	157
Sat Jun 19 15:12:48 2021	1624108368	28	236	264	180
Sat Jun 19 15:12:44 2021	1624108364	26	238	264	133
Sat Jun 19 15:12:48 2021	1624108368	28	237	264	107
Sat Jun 19 15:12:52 2021	1624108372	21	244	264	217
Sat Jun 19 15:12:44 2021	1624108364	28	236	265	184
Sat Jun 19 15:12:49 2021	1624108369	23	242	265	242
Sat Jun 19 15:12:52 2021	1624108372	28	237	265	237
Sat Jun 19 15:12:52 2021	1624108372	29	236	265	129
Sat Jun 19 15:12:48 2021	1624108368	27	237	265	237
Sat Jun 19 15:12:49 2021	1624108369	27	238	265	158
Sat Jun 19 15:12:51 2021	1624108371	25	240	265	106
Sat Jun 19 15:12:44 2021	1624108364	27	238	265	211
Sat Jun 19 15:12:44 2021	1624108364	26	240	265	108
Sat Jun 19 15:12:51 2021	1624108371	26	239	265	57
Sat Jun 19 15:12:52 2021	1624108372	27	239	265	239
Sat Jun 19 15:12:48 2021	1624108368	25	241	266	163
Sat Jun 19 15:12:44 2021	1624108364	26	240	266	85
Sat Jun 19 15:12:48 2021	1624108368	23	243	266	243
Sat Jun 19 15:12:44 2021	1624108364	27	239	266	78
Sat Jun 19 15:12:51 2021	1624108371	27	239	266	239
Sat Jun 19 15:12:48 2021	1624108368	26	240	266	188
Sat Jun 19 15:12:44 2021	1624108364	26	240	267	105
Sat Jun 19 15:12:48 2021	1624108368	29	238	267	103
Sat Jun 19 15:12:46 2021	1624108366	25	242	267	156
Sat Jun 19 15:12:51 2021	1624108371	30	237	267	209
Sat Jun 19 15:12:52 2021	1624108372	26	241	267	188
Sat Jun 19 15:12:52 2021	1624108372	28	239	267	83
Sat Jun 19 15:12:44 2021	1624108364	26	241	267	131
Sat Jun 19 15:12:44 2021	1624108364	28	239	267	239
