Percentage served,Time in ms
0,66.998
1,98.102
2,165.775
3,231.722
4,296.202
5,363.933
6,437.233
7,504.891
8,577.527
9,642.828
10,710.549
11,776.577
12,843.545
13,908.577
14,976.670
15,1043.337
16,1111.244
17,1183.521
18,1251.421
19,1312.212
20,1383.183
21,1444.775
22,1508.427
23,1574.161
24,1636.588
25,1637.146
26,1638.980
27,1639.837
28,1640.101
29,1640.734
30,1641.158
31,1641.249
32,1641.292
33,1641.758
34,1642.061
35,1642.376
36,1642.508
37,1642.534
38,1643.506
39,1643.664
40,1644.146
41,1645.241
42,1645.717
43,1646.344
44,1648.319
45,1649.249
46,1649.703
47,1650.010
48,1651.407
49,1652.012
50,1652.241
51,1652.866
52,1653.511
53,1654.124
54,1654.775
55,1654.785
56,1655.152
57,1655.351
58,1655.786
59,1655.954
60,1657.031
61,1657.833
62,1658.514
63,1659.171
64,1659.446
65,1659.678
66,1659.924
67,1660.361
68,1661.099
69,1661.223
70,1661.570
71,1661.865
72,1661.998
73,1662.446
74,1662.920
75,1663.202
76,1663.516
77,1663.682
78,1663.807
79,1665.351
80,1665.479
81,1666.481
82,1666.836
83,1667.331
84,1668.086
85,1669.648
86,1670.114
87,1670.742
88,1672.133
89,1672.251
90,1673.400
91,1674.284
92,1674.642
93,1674.881
94,1675.607
95,1676.565
96,1677.028
97,1678.485
98,1681.976
99,1687.070
100,1697.526
