starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 19 15:04:03 2021	1624107843	28	34	63	34
Sat Jun 19 15:04:03 2021	1624107843	33	47	81	46
Sat Jun 19 15:04:03 2021	1624107843	30	63	93	62
Sat Jun 19 15:04:03 2021	1624107843	33	93	126	92
Sat Jun 19 15:04:03 2021	1624107843	31	126	157	125
Sat Jun 19 15:04:03 2021	1624107843	31	157	187	156
Sat Jun 19 15:04:03 2021	1624107843	31	188	219	187
Sat Jun 19 15:04:03 2021	1624107843	31	219	250	218
Sat Jun 19 15:04:03 2021	1624107843	32	251	283	250
Sat Jun 19 15:04:03 2021	1624107843	30	283	313	282
Sat Jun 19 15:04:03 2021	1624107843	29	312	341	312
Sat Jun 19 15:04:03 2021	1624107843	32	341	373	341
Sat Jun 19 15:04:03 2021	1624107843	35	373	409	373
Sat Jun 19 15:04:03 2021	1624107843	31	410	441	410
Sat Jun 19 15:04:03 2021	1624107843	37	441	478	441
Sat Jun 19 15:04:03 2021	1624107843	32	478	510	478
Sat Jun 19 15:04:03 2021	1624107843	33	510	543	510
Sat Jun 19 15:04:03 2021	1624107843	31	543	575	543
Sat Jun 19 15:04:03 2021	1624107843	33	575	608	575
Sat Jun 19 15:04:03 2021	1624107843	36	608	644	608
Sat Jun 19 15:04:03 2021	1624107843	33	644	676	644
Sat Jun 19 15:04:03 2021	1624107843	31	676	707	676
Sat Jun 19 15:04:02 2021	1624107842	33	707	740	64
Sat Jun 19 15:04:02 2021	1624107842	33	740	773	96
Sat Jun 19 15:04:02 2021	1624107842	32	774	806	130
Sat Jun 19 15:04:02 2021	1624107842	35	806	841	162
Sat Jun 19 15:04:02 2021	1624107842	36	841	877	197
Sat Jun 19 15:04:02 2021	1624107842	31	877	908	233
Sat Jun 19 15:04:02 2021	1624107842	30	908	939	265
Sat Jun 19 15:03:47 2021	1624107827	34	919	953	413
Sat Jun 19 15:03:47 2021	1624107827	30	927	957	645
Sat Jun 19 15:03:50 2021	1624107830	29	929	958	510
Sat Jun 19 15:03:50 2021	1624107830	32	926	959	539
Sat Jun 19 15:03:50 2021	1624107830	30	929	959	571
Sat Jun 19 15:03:47 2021	1624107827	31	928	959	582
Sat Jun 19 15:03:50 2021	1624107830	33	927	960	445
Sat Jun 19 15:03:50 2021	1624107830	30	930	960	601
Sat Jun 19 15:03:47 2021	1624107827	30	930	960	776
Sat Jun 19 15:03:47 2021	1624107827	32	929	960	614
Sat Jun 19 15:03:50 2021	1624107830	32	929	961	929
Sat Jun 19 15:03:47 2021	1624107827	32	929	961	550
Sat Jun 19 15:03:50 2021	1624107830	31	930	961	478
Sat Jun 19 15:03:47 2021	1624107827	34	928	961	806
Sat Jun 19 15:03:50 2021	1624107830	34	927	961	894
Sat Jun 19 15:03:50 2021	1624107830	34	928	962	633
Sat Jun 19 15:03:50 2021	1624107830	30	932	962	865
Sat Jun 19 15:03:52 2021	1624107832	31	932	962	611
Sat Jun 19 15:03:47 2021	1624107827	31	932	962	519
Sat Jun 19 15:03:50 2021	1624107830	30	933	962	834
Sat Jun 19 15:03:47 2021	1624107827	31	932	963	383
Sat Jun 19 15:03:47 2021	1624107827	33	930	963	676
Sat Jun 19 15:03:47 2021	1624107827	30	933	963	489
Sat Jun 19 15:03:50 2021	1624107830	34	929	963	929
Sat Jun 19 15:03:50 2021	1624107830	35	928	963	314
Sat Jun 19 15:03:50 2021	1624107830	30	933	963	702
Sat Jun 19 15:03:52 2021	1624107832	32	932	964	642
Sat Jun 19 15:03:47 2021	1624107827	34	930	964	710
Sat Jun 19 15:03:50 2021	1624107830	31	933	964	414
Sat Jun 19 15:03:50 2021	1624107830	34	930	964	349
Sat Jun 19 15:03:50 2021	1624107830	29	935	964	284
Sat Jun 19 15:03:50 2021	1624107830	36	928	964	666
Sat Jun 19 15:03:50 2021	1624107830	31	933	964	733
Sat Jun 19 15:03:47 2021	1624107827	41	924	965	448
Sat Jun 19 15:03:50 2021	1624107830	32	933	965	100
Sat Jun 19 15:03:47 2021	1624107827	31	935	965	744
Sat Jun 19 15:03:50 2021	1624107830	34	931	965	800
Sat Jun 19 15:03:50 2021	1624107830	35	930	965	765
Sat Jun 19 15:03:50 2021	1624107830	30	935	965	254
Sat Jun 19 15:03:53 2021	1624107833	33	932	966	708
Sat Jun 19 15:03:49 2021	1624107829	34	932	966	132
Sat Jun 19 15:03:47 2021	1624107827	30	937	966	353
Sat Jun 19 15:03:52 2021	1624107832	32	934	966	708
Sat Jun 19 15:03:52 2021	1624107832	32	935	966	580
Sat Jun 19 15:03:53 2021	1624107833	33	933	966	742
Sat Jun 19 15:03:52 2021	1624107832	30	937	967	486
Sat Jun 19 15:03:50 2021	1624107830	32	935	967	382
Sat Jun 19 15:03:47 2021	1624107827	31	936	967	878
Sat Jun 19 15:03:49 2021	1624107829	36	932	968	166
Sat Jun 19 15:03:52 2021	1624107832	32	936	968	516
Sat Jun 19 15:03:53 2021	1624107833	29	938	968	678
Sat Jun 19 15:03:52 2021	1624107832	34	934	968	674
Sat Jun 19 15:03:50 2021	1624107830	32	936	968	223
Sat Jun 19 15:03:52 2021	1624107832	33	935	968	806
Sat Jun 19 15:03:52 2021	1624107832	32	936	968	548
Sat Jun 19 15:03:51 2021	1624107831	29	939	968	875
Sat Jun 19 15:03:52 2021	1624107832	33	935	968	840
Sat Jun 19 15:03:47 2021	1624107827	38	930	968	839
Sat Jun 19 15:03:52 2021	1624107832	32	937	968	775
Sat Jun 19 15:03:49 2021	1624107829	32	936	969	202
Sat Jun 19 15:03:52 2021	1624107832	32	937	969	389
Sat Jun 19 15:03:52 2021	1624107832	33	936	969	740
Sat Jun 19 15:03:47 2021	1624107827	30	940	970	324
Sat Jun 19 15:03:52 2021	1624107832	32	938	970	938
Sat Jun 19 15:03:50 2021	1624107830	33	936	970	189
Sat Jun 19 15:03:52 2021	1624107832	31	939	970	99
Sat Jun 19 15:03:52 2021	1624107832	31	939	970	873
Sat Jun 19 15:03:47 2021	1624107827	26	944	970	944
Sat Jun 19 15:03:52 2021	1624107832	31	939	970	455
Sat Jun 19 15:03:58 2021	1624107838	30	940	970	456
Sat Jun 19 15:03:50 2021	1624107830	29	941	971	160
Sat Jun 19 15:03:51 2021	1624107831	33	937	971	363
Sat Jun 19 15:03:49 2021	1624107829	30	940	971	235
Sat Jun 19 15:03:58 2021	1624107838	31	940	971	552
Sat Jun 19 15:03:58 2021	1624107838	34	937	971	582
Sat Jun 19 15:03:58 2021	1624107838	33	938	971	649
Sat Jun 19 15:03:47 2021	1624107827	31	939	971	292
Sat Jun 19 15:03:52 2021	1624107832	29	942	971	360
Sat Jun 19 15:03:52 2021	1624107832	36	936	971	774
Sat Jun 19 15:03:52 2021	1624107832	33	938	971	66
Sat Jun 19 15:03:58 2021	1624107838	35	937	972	487
Sat Jun 19 15:04:02 2021	1624107842	33	939	972	295
Sat Jun 19 15:03:51 2021	1624107831	36	936	972	905
Sat Jun 19 15:03:58 2021	1624107838	28	944	972	523
Sat Jun 19 15:03:52 2021	1624107832	33	939	972	131
Sat Jun 19 15:03:51 2021	1624107831	29	943	972	334
Sat Jun 19 15:03:52 2021	1624107832	33	938	972	422
Sat Jun 19 15:03:58 2021	1624107838	31	941	972	617
Sat Jun 19 15:03:51 2021	1624107831	31	942	972	71
Sat Jun 19 15:03:51 2021	1624107831	31	941	972	844
Sat Jun 19 15:03:52 2021	1624107832	32	941	973	164
Sat Jun 19 15:03:52 2021	1624107832	35	938	973	809
Sat Jun 19 15:03:50 2021	1624107830	34	940	973	95
Sat Jun 19 15:03:47 2021	1624107827	34	939	973	910
Sat Jun 19 15:03:48 2021	1624107828	32	941	973	260
Sat Jun 19 15:03:51 2021	1624107831	33	941	973	101
Sat Jun 19 15:03:53 2021	1624107833	30	944	974	614
Sat Jun 19 15:03:52 2021	1624107832	34	939	974	196
Sat Jun 19 15:03:50 2021	1624107830	31	943	974	129
Sat Jun 19 15:03:51 2021	1624107831	30	944	974	234
Sat Jun 19 15:03:58 2021	1624107838	32	942	974	815
Sat Jun 19 15:03:51 2021	1624107831	32	942	974	202
Sat Jun 19 15:03:52 2021	1624107832	34	941	974	905
Sat Jun 19 15:04:02 2021	1624107842	35	939	974	329
Sat Jun 19 15:03:51 2021	1624107831	34	940	974	134
Sat Jun 19 15:03:58 2021	1624107838	35	939	974	682
Sat Jun 19 15:03:52 2021	1624107832	33	942	974	263
Sat Jun 19 15:03:49 2021	1624107829	37	937	975	266
Sat Jun 19 15:03:50 2021	1624107830	34	941	975	940
Sat Jun 19 15:03:58 2021	1624107838	34	941	975	717
Sat Jun 19 15:03:53 2021	1624107833	34	941	975	644
Sat Jun 19 15:03:59 2021	1624107839	29	946	975	223
Sat Jun 19 15:03:49 2021	1624107829	30	945	975	465
Sat Jun 19 15:03:58 2021	1624107838	33	942	975	847
Sat Jun 19 15:03:49 2021	1624107829	32	943	975	303
Sat Jun 19 15:03:51 2021	1624107831	33	942	975	168
Sat Jun 19 15:03:58 2021	1624107838	33	942	976	751
Sat Jun 19 15:03:51 2021	1624107831	36	940	976	265
