Percentage served,Time in ms
0,61.460
1,300.121
2,571.477
3,792.571
4,795.463
5,797.541
6,798.343
7,800.121
8,801.820
9,802.675
10,803.896
11,804.963
12,805.684
13,806.303
14,806.725
15,807.093
16,807.577
17,807.940
18,808.211
19,808.515
20,808.785
21,809.233
22,809.737
23,809.942
24,810.093
25,810.479
26,810.710
27,811.061
28,811.321
29,811.520
30,811.839
31,812.018
32,812.191
33,812.512
34,812.782
35,812.931
36,813.216
37,813.445
38,813.641
39,813.873
40,814.034
41,814.244
42,814.493
43,814.812
44,815.076
45,815.303
46,815.429
47,815.593
48,815.952
49,816.115
50,816.359
51,816.699
52,816.965
53,817.126
54,817.409
55,817.703
56,817.936
57,818.091
58,818.364
59,818.549
60,818.796
61,819.030
62,819.165
63,819.488
64,819.808
65,819.927
66,820.178
67,820.496
68,820.746
69,820.931
70,821.290
71,821.777
72,822.239
73,822.376
74,822.807
75,823.115
76,823.578
77,823.885
78,824.194
79,824.516
80,824.998
81,825.436
82,825.736
83,826.404
84,827.036
85,827.738
86,828.667
87,829.218
88,829.821
89,830.684
90,832.110
91,833.218
92,835.359
93,837.963
94,840.031
95,842.245
96,844.461
97,911.159
98,915.247
99,916.854
100,923.433
