starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 19 14:00:44 2021	1624104044	20	27	47	26
Sat Jun 19 14:00:50 2021	1624104050	20	28	48	26
Sat Jun 19 14:00:47 2021	1624104047	21	28	48	26
Sat Jun 19 14:00:43 2021	1624104043	20	28	49	28
Sat Jun 19 14:00:51 2021	1624104051	21	29	49	28
Sat Jun 19 14:00:52 2021	1624104052	21	28	49	27
Sat Jun 19 14:00:49 2021	1624104049	23	26	49	25
Sat Jun 19 14:00:44 2021	1624104044	21	28	50	28
Sat Jun 19 14:00:51 2021	1624104051	23	27	50	27
Sat Jun 19 14:00:44 2021	1624104044	22	28	50	27
Sat Jun 19 14:00:46 2021	1624104046	24	27	50	26
Sat Jun 19 14:00:43 2021	1624104043	24	27	50	26
Sat Jun 19 14:00:44 2021	1624104044	22	28	50	27
Sat Jun 19 14:00:44 2021	1624104044	23	27	50	26
Sat Jun 19 14:00:50 2021	1624104050	23	28	51	28
Sat Jun 19 14:00:49 2021	1624104049	20	31	51	29
Sat Jun 19 14:00:48 2021	1624104048	25	26	51	26
Sat Jun 19 14:00:49 2021	1624104049	24	27	51	26
Sat Jun 19 14:00:42 2021	1624104042	26	25	52	24
Sat Jun 19 14:00:48 2021	1624104048	25	26	52	26
Sat Jun 19 14:00:45 2021	1624104045	22	30	52	29
Sat Jun 19 14:00:47 2021	1624104047	25	27	52	26
Sat Jun 19 14:00:46 2021	1624104046	24	28	52	27
Sat Jun 19 14:00:44 2021	1624104044	24	28	52	27
Sat Jun 19 14:00:50 2021	1624104050	23	29	52	28
Sat Jun 19 14:00:52 2021	1624104052	23	29	52	28
Sat Jun 19 14:00:45 2021	1624104045	24	28	52	27
Sat Jun 19 14:00:43 2021	1624104043	24	28	52	28
Sat Jun 19 14:00:47 2021	1624104047	24	28	52	26
Sat Jun 19 14:00:52 2021	1624104052	25	27	52	27
Sat Jun 19 14:00:48 2021	1624104048	25	28	52	27
Sat Jun 19 14:00:47 2021	1624104047	23	29	52	28
Sat Jun 19 14:00:45 2021	1624104045	20	32	52	31
Sat Jun 19 14:00:42 2021	1624104042	24	28	52	28
Sat Jun 19 14:00:47 2021	1624104047	23	30	53	29
Sat Jun 19 14:00:50 2021	1624104050	26	26	53	26
Sat Jun 19 14:00:41 2021	1624104041	22	31	53	30
Sat Jun 19 14:00:45 2021	1624104045	24	29	53	29
Sat Jun 19 14:00:45 2021	1624104045	26	26	53	26
Sat Jun 19 14:00:45 2021	1624104045	21	32	53	31
