starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 19 14:43:20 2021	1624106600	0	19	19	19
Sat Jun 19 14:43:05 2021	1624106585	0	19	19	19
Sat Jun 19 14:43:22 2021	1624106602	0	19	19	19
Sat Jun 19 14:43:22 2021	1624106602	0	19	19	19
Sat Jun 19 14:43:03 2021	1624106583	0	20	20	20
Sat Jun 19 14:43:01 2021	1624106581	0	20	20	20
Sat Jun 19 14:43:01 2021	1624106581	0	20	20	20
Sat Jun 19 14:43:24 2021	1624106604	0	20	20	20
Sat Jun 19 14:43:19 2021	1624106599	0	20	20	20
Sat Jun 19 14:42:58 2021	1624106578	0	20	20	20
Sat Jun 19 14:43:15 2021	1624106595	0	20	20	20
Sat Jun 19 14:43:04 2021	1624106584	1	19	20	19
Sat Jun 19 14:43:03 2021	1624106583	0	20	20	20
Sat Jun 19 14:43:12 2021	1624106592	0	20	20	20
Sat Jun 19 14:43:06 2021	1624106586	0	20	20	20
Sat Jun 19 14:43:25 2021	1624106605	1	19	20	19
Sat Jun 19 14:43:22 2021	1624106602	0	20	20	20
Sat Jun 19 14:43:14 2021	1624106594	1	19	20	19
Sat Jun 19 14:42:57 2021	1624106577	0	20	20	20
Sat Jun 19 14:42:59 2021	1624106579	0	20	20	20
Sat Jun 19 14:43:05 2021	1624106585	0	20	20	20
Sat Jun 19 14:43:20 2021	1624106600	0	20	20	19
Sat Jun 19 14:42:57 2021	1624106577	0	20	20	19
Sat Jun 19 14:42:58 2021	1624106578	1	19	20	19
Sat Jun 19 14:43:01 2021	1624106581	0	20	20	20
Sat Jun 19 14:43:09 2021	1624106589	1	19	20	19
Sat Jun 19 14:43:07 2021	1624106587	0	20	20	20
Sat Jun 19 14:43:17 2021	1624106597	0	20	20	20
Sat Jun 19 14:43:18 2021	1624106598	0	20	20	20
Sat Jun 19 14:43:07 2021	1624106587	0	20	20	20
Sat Jun 19 14:43:07 2021	1624106587	1	19	20	19
Sat Jun 19 14:43:16 2021	1624106596	1	19	20	19
Sat Jun 19 14:43:03 2021	1624106583	0	20	20	20
Sat Jun 19 14:43:23 2021	1624106603	0	20	20	20
Sat Jun 19 14:43:14 2021	1624106594	0	20	20	20
Sat Jun 19 14:43:14 2021	1624106594	0	20	20	20
Sat Jun 19 14:43:11 2021	1624106591	0	20	20	20
Sat Jun 19 14:43:21 2021	1624106601	1	19	20	19
Sat Jun 19 14:43:11 2021	1624106591	0	20	20	20
Sat Jun 19 14:43:00 2021	1624106580	1	19	20	19
Sat Jun 19 14:43:04 2021	1624106584	0	20	20	20
Sat Jun 19 14:43:19 2021	1624106599	0	20	20	20
Sat Jun 19 14:42:59 2021	1624106579	0	20	20	20
Sat Jun 19 14:43:19 2021	1624106599	0	20	20	20
Sat Jun 19 14:43:24 2021	1624106604	0	20	20	19
Sat Jun 19 14:43:06 2021	1624106586	1	19	20	19
Sat Jun 19 14:43:06 2021	1624106586	0	20	20	20
Sat Jun 19 14:43:04 2021	1624106584	0	20	20	20
Sat Jun 19 14:43:07 2021	1624106587	1	19	20	19
Sat Jun 19 14:43:06 2021	1624106586	0	20	20	20
Sat Jun 19 14:43:16 2021	1624106596	1	19	20	19
Sat Jun 19 14:43:22 2021	1624106602	1	20	20	20
Sat Jun 19 14:43:02 2021	1624106582	0	20	20	20
Sat Jun 19 14:43:01 2021	1624106581	0	20	20	20
Sat Jun 19 14:43:08 2021	1624106588	0	20	20	20
Sat Jun 19 14:43:05 2021	1624106585	1	19	20	19
Sat Jun 19 14:43:23 2021	1624106603	1	19	20	19
Sat Jun 19 14:43:03 2021	1624106583	0	20	20	20
Sat Jun 19 14:43:11 2021	1624106591	0	20	20	20
Sat Jun 19 14:43:00 2021	1624106580	0	20	20	20
Sat Jun 19 14:42:58 2021	1624106578	0	20	20	20
Sat Jun 19 14:43:14 2021	1624106594	0	20	20	20
Sat Jun 19 14:43:14 2021	1624106594	0	20	20	20
Sat Jun 19 14:43:09 2021	1624106589	0	20	20	20
Sat Jun 19 14:43:01 2021	1624106581	1	19	20	19
Sat Jun 19 14:43:25 2021	1624106605	0	20	20	20
Sat Jun 19 14:42:59 2021	1624106579	0	20	20	20
Sat Jun 19 14:43:05 2021	1624106585	1	20	20	20
Sat Jun 19 14:43:21 2021	1624106601	1	20	21	20
Sat Jun 19 14:43:20 2021	1624106600	0	21	21	21
Sat Jun 19 14:43:20 2021	1624106600	1	20	21	20
Sat Jun 19 14:43:21 2021	1624106601	0	21	21	21
Sat Jun 19 14:43:14 2021	1624106594	0	21	21	21
Sat Jun 19 14:43:11 2021	1624106591	0	21	21	20
Sat Jun 19 14:43:07 2021	1624106587	1	20	21	20
Sat Jun 19 14:43:00 2021	1624106580	0	21	21	21
Sat Jun 19 14:43:14 2021	1624106594	0	21	21	21
Sat Jun 19 14:43:04 2021	1624106584	0	21	21	19
Sat Jun 19 14:43:25 2021	1624106605	0	21	21	21
Sat Jun 19 14:43:06 2021	1624106586	0	21	21	21
Sat Jun 19 14:43:17 2021	1624106597	0	21	21	21
Sat Jun 19 14:43:06 2021	1624106586	0	21	21	21
Sat Jun 19 14:43:18 2021	1624106598	1	20	21	20
Sat Jun 19 14:43:23 2021	1624106603	0	21	21	21
Sat Jun 19 14:43:00 2021	1624106580	0	21	21	20
Sat Jun 19 14:43:20 2021	1624106600	0	21	21	21
Sat Jun 19 14:43:12 2021	1624106592	0	21	21	20
Sat Jun 19 14:42:57 2021	1624106577	0	20	21	20
Sat Jun 19 14:42:59 2021	1624106579	1	20	21	20
Sat Jun 19 14:43:15 2021	1624106595	0	21	21	21
Sat Jun 19 14:43:13 2021	1624106593	0	21	21	21
Sat Jun 19 14:43:06 2021	1624106586	0	21	21	21
Sat Jun 19 14:42:58 2021	1624106578	1	20	21	20
Sat Jun 19 14:43:15 2021	1624106595	1	20	21	20
Sat Jun 19 14:43:25 2021	1624106605	0	21	21	21
Sat Jun 19 14:43:26 2021	1624106606	0	21	21	21
Sat Jun 19 14:43:07 2021	1624106587	1	20	21	20
Sat Jun 19 14:43:23 2021	1624106603	0	21	21	21
Sat Jun 19 14:43:22 2021	1624106602	0	21	21	21
Sat Jun 19 14:43:20 2021	1624106600	0	21	21	21
Sat Jun 19 14:42:58 2021	1624106578	0	21	21	21
Sat Jun 19 14:43:01 2021	1624106581	0	21	21	21
Sat Jun 19 14:43:10 2021	1624106590	0	21	21	21
Sat Jun 19 14:43:00 2021	1624106580	0	21	21	21
Sat Jun 19 14:42:59 2021	1624106579	1	20	21	20
Sat Jun 19 14:43:20 2021	1624106600	1	20	21	20
Sat Jun 19 14:42:58 2021	1624106578	0	21	21	21
Sat Jun 19 14:43:19 2021	1624106599	1	20	21	20
Sat Jun 19 14:43:18 2021	1624106598	1	20	21	20
Sat Jun 19 14:43:20 2021	1624106600	0	21	21	21
Sat Jun 19 14:43:10 2021	1624106590	1	20	21	20
Sat Jun 19 14:42:58 2021	1624106578	0	21	21	21
Sat Jun 19 14:42:58 2021	1624106578	1	20	21	20
Sat Jun 19 14:43:20 2021	1624106600	0	21	21	21
Sat Jun 19 14:43:11 2021	1624106591	0	21	21	20
Sat Jun 19 14:43:22 2021	1624106602	0	21	21	21
Sat Jun 19 14:43:12 2021	1624106592	1	20	21	20
Sat Jun 19 14:43:02 2021	1624106582	0	21	21	21
Sat Jun 19 14:43:22 2021	1624106602	1	20	21	20
Sat Jun 19 14:43:09 2021	1624106589	0	21	21	21
Sat Jun 19 14:43:20 2021	1624106600	0	21	21	21
Sat Jun 19 14:43:10 2021	1624106590	1	20	21	20
Sat Jun 19 14:43:12 2021	1624106592	1	20	21	20
Sat Jun 19 14:43:00 2021	1624106580	0	21	21	20
Sat Jun 19 14:43:21 2021	1624106601	1	20	21	20
Sat Jun 19 14:43:24 2021	1624106604	0	21	21	21
Sat Jun 19 14:43:16 2021	1624106596	0	21	21	21
Sat Jun 19 14:43:00 2021	1624106580	0	21	21	21
Sat Jun 19 14:43:07 2021	1624106587	1	20	21	20
Sat Jun 19 14:43:00 2021	1624106580	0	21	21	21
Sat Jun 19 14:43:02 2021	1624106582	1	20	21	20
Sat Jun 19 14:43:25 2021	1624106605	0	21	21	21
Sat Jun 19 14:43:08 2021	1624106588	0	21	21	21
Sat Jun 19 14:43:07 2021	1624106587	0	21	21	19
Sat Jun 19 14:43:19 2021	1624106599	0	21	21	21
Sat Jun 19 14:43:05 2021	1624106585	0	21	21	21
Sat Jun 19 14:43:07 2021	1624106587	1	20	21	20
Sat Jun 19 14:43:06 2021	1624106586	0	21	21	20
Sat Jun 19 14:43:00 2021	1624106580	1	20	21	19
Sat Jun 19 14:43:05 2021	1624106585	0	21	21	21
Sat Jun 19 14:43:25 2021	1624106605	0	21	21	21
Sat Jun 19 14:43:10 2021	1624106590	1	20	21	20
Sat Jun 19 14:43:10 2021	1624106590	0	21	21	20
Sat Jun 19 14:43:25 2021	1624106605	0	21	21	21
Sat Jun 19 14:43:23 2021	1624106603	1	20	21	20
Sat Jun 19 14:42:59 2021	1624106579	0	21	21	21
Sat Jun 19 14:43:15 2021	1624106595	1	20	21	20
Sat Jun 19 14:43:23 2021	1624106603	1	20	21	20
Sat Jun 19 14:43:04 2021	1624106584	1	20	21	20
Sat Jun 19 14:43:16 2021	1624106596	0	21	21	21
Sat Jun 19 14:43:18 2021	1624106598	1	20	21	20
Sat Jun 19 14:43:24 2021	1624106604	0	21	21	21
Sat Jun 19 14:43:23 2021	1624106603	1	20	21	20
Sat Jun 19 14:43:02 2021	1624106582	1	20	21	20
Sat Jun 19 14:43:01 2021	1624106581	1	20	21	20
Sat Jun 19 14:43:01 2021	1624106581	1	20	21	20
Sat Jun 19 14:43:21 2021	1624106601	1	20	21	20
Sat Jun 19 14:43:21 2021	1624106601	0	21	21	21
Sat Jun 19 14:43:22 2021	1624106602	1	20	21	20
Sat Jun 19 14:43:02 2021	1624106582	0	21	21	21
Sat Jun 19 14:43:01 2021	1624106581	1	20	21	20
