Percentage served,Time in ms
0,38.296
1,99.370
2,214.404
3,237.457
4,283.358
5,298.893
6,304.434
7,313.512
8,331.900
9,332.347
10,339.143
11,345.181
12,367.993
13,388.065
14,393.399
15,398.047
16,404.546
17,407.125
18,419.676
19,429.037
20,432.685
21,445.654
22,459.409
23,465.525
24,475.800
25,489.232
26,492.850
27,495.690
28,496.809
29,504.011
30,508.544
31,520.313
32,526.124
33,530.047
34,530.987
35,535.069
36,537.979
37,547.177
38,552.002
39,572.975
40,575.996
41,592.239
42,595.106
43,604.677
44,607.539
45,621.761
46,625.359
47,631.444
48,644.845
49,651.203
50,672.796
51,680.305
52,687.260
53,712.606
54,724.429
55,727.105
56,747.159
57,751.072
58,759.251
59,782.456
60,791.874
61,803.406
62,847.694
63,853.875
64,861.199
65,869.937
66,880.553
67,882.146
68,890.558
69,896.117
70,902.587
71,904.563
72,909.216
73,919.047
74,957.091
75,961.941
76,984.362
77,992.046
78,992.653
79,1017.277
80,1042.875
81,1054.409
82,1080.480
83,1098.199
84,1105.507
85,1119.649
86,1134.136
87,1180.592
88,1201.021
89,1216.756
90,1228.409
91,1256.546
92,1284.501
93,1312.363
94,1323.215
95,1385.039
96,1414.962
97,1519.098
98,1618.944
99,1800.306
100,1894.998
