Percentage served,Time in ms
0,738.166
1,738.411
2,738.808
3,739.690
4,739.797
5,739.972
6,740.871
7,741.598
8,741.980
9,743.146
10,743.244
11,745.990
12,747.048
13,809.835
14,822.602
15,823.153
16,825.456
17,825.633
18,825.902
19,826.561
20,828.201
21,830.498
22,832.817
23,832.889
24,833.369
25,833.508
26,833.918
27,834.138
28,839.851
29,878.249
30,881.293
31,881.437
32,882.160
33,884.751
34,885.097
35,907.035
36,910.452
37,911.728
38,913.614
39,943.970
40,947.628
41,1008.302
42,1073.159
43,1080.147
44,1082.928
45,1084.335
46,1131.262
47,1212.128
48,1231.514
49,1268.946
50,1305.389
51,1341.066
52,1346.707
53,1370.350
54,1377.600
55,1403.946
56,1413.467
57,1437.651
58,1445.279
59,1475.938
60,1480.138
61,1504.399
62,1507.991
63,1508.863
64,1512.059
65,1512.225
66,1513.390
67,1514.654
68,1515.301
69,1516.944
70,1519.826
71,1520.667
72,1521.174
73,1522.628
74,1559.324
75,1588.417
76,1626.096
77,1667.900
78,1688.548
79,1689.675
80,1689.959
81,1690.016
82,1690.440
83,1690.795
84,1690.812
85,1691.804
86,1692.045
87,1693.836
88,1695.261
89,1696.539
90,1700.503
91,1700.691
92,1703.566
93,1705.641
94,1706.772
95,1706.953
96,1707.865
97,1708.713
98,1717.187
99,1736.803
100,1736.803
