starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 19 22:35:25 2021	1624134925	29	233	262	233
Sat Jun 19 22:35:25 2021	1624134925	34	314	348	171
Sat Jun 19 22:35:25 2021	1624134925	40	311	350	205
Sat Jun 19 22:35:25 2021	1624134925	38	315	353	245
Sat Jun 19 22:35:24 2021	1624134924	34	320	354	320
Sat Jun 19 22:35:24 2021	1624134924	36	320	357	284
Sat Jun 19 22:35:25 2021	1624134925	36	339	375	232
Sat Jun 19 22:35:25 2021	1624134925	33	370	404	370
Sat Jun 19 22:35:25 2021	1624134925	34	370	404	297
Sat Jun 19 22:35:25 2021	1624134925	39	368	407	331
Sat Jun 19 22:35:25 2021	1624134925	38	460	497	459
Sat Jun 19 22:35:29 2021	1624134929	37	464	501	359
Sat Jun 19 22:35:29 2021	1624134929	35	501	536	396
Sat Jun 19 22:35:29 2021	1624134929	37	537	574	432
Sat Jun 19 22:35:25 2021	1624134925	37	545	581	369
Sat Jun 19 22:35:25 2021	1624134925	35	548	582	405
Sat Jun 19 22:35:25 2021	1624134925	36	549	585	333
Sat Jun 19 22:35:25 2021	1624134925	36	550	586	262
Sat Jun 19 22:35:25 2021	1624134925	34	551	586	298
Sat Jun 19 22:35:24 2021	1624134924	36	565	602	246
Sat Jun 19 22:35:25 2021	1624134925	35	568	603	459
Sat Jun 19 22:35:29 2021	1624134929	35	574	609	468
Sat Jun 19 22:35:25 2021	1624134925	33	603	636	568
Sat Jun 19 22:35:25 2021	1624134925	37	601	637	601
Sat Jun 19 22:35:25 2021	1624134925	36	603	639	532
Sat Jun 19 22:35:29 2021	1624134929	31	609	640	503
Sat Jun 19 22:35:29 2021	1624134929	35	612	647	612
Sat Jun 19 22:35:28 2021	1624134928	33	639	672	637
Sat Jun 19 22:35:27 2021	1624134927	34	639	674	638
Sat Jun 19 22:35:29 2021	1624134929	34	645	679	644
Sat Jun 19 22:35:29 2021	1624134929	40	640	680	535
Sat Jun 19 22:35:29 2021	1624134929	38	645	683	574
Sat Jun 19 22:35:29 2021	1624134929	36	649	685	613
Sat Jun 19 22:35:29 2021	1624134929	42	649	691	648
Sat Jun 19 22:35:29 2021	1624134929	37	655	693	654
Sat Jun 19 22:35:26 2021	1624134926	36	686	721	685
Sat Jun 19 22:35:29 2021	1624134929	36	685	721	682
Sat Jun 19 22:35:25 2021	1624134925	35	687	722	686
Sat Jun 19 22:35:25 2021	1624134925	35	689	724	689
Sat Jun 19 22:35:26 2021	1624134926	38	687	725	616
Sat Jun 19 22:35:25 2021	1624134925	36	689	725	653
Sat Jun 19 22:35:26 2021	1624134926	34	692	726	582
Sat Jun 19 22:35:26 2021	1624134926	33	696	730	549
Sat Jun 19 22:35:26 2021	1624134926	36	696	733	471
Sat Jun 19 22:35:26 2021	1624134926	34	698	733	437
Sat Jun 19 22:35:26 2021	1624134926	32	701	733	405
Sat Jun 19 22:35:26 2021	1624134926	41	695	736	508
Sat Jun 19 22:35:27 2021	1624134927	35	711	746	528
Sat Jun 19 22:35:27 2021	1624134927	35	711	746	636
Sat Jun 19 22:35:27 2021	1624134927	33	716	748	494
Sat Jun 19 22:35:27 2021	1624134927	37	713	749	600
Sat Jun 19 22:35:27 2021	1624134927	37	713	750	563
Sat Jun 19 22:35:27 2021	1624134927	37	720	757	418
Sat Jun 19 22:35:29 2021	1624134929	36	721	757	721
Sat Jun 19 22:35:27 2021	1624134927	40	719	759	455
Sat Jun 19 22:35:27 2021	1624134927	36	745	781	745
Sat Jun 19 22:35:27 2021	1624134927	38	744	782	706
Sat Jun 19 22:35:26 2021	1624134926	35	748	782	497
Sat Jun 19 22:35:26 2021	1624134926	37	749	785	532
Sat Jun 19 22:35:26 2021	1624134926	38	750	787	459
Sat Jun 19 22:35:26 2021	1624134926	37	750	788	568
Sat Jun 19 22:35:26 2021	1624134926	40	751	791	606
Sat Jun 19 22:35:26 2021	1624134926	37	754	791	645
Sat Jun 19 22:35:26 2021	1624134926	39	756	795	683
Sat Jun 19 22:35:26 2021	1624134926	37	793	830	793
Sat Jun 19 22:35:26 2021	1624134926	36	796	832	757
Sat Jun 19 22:35:28 2021	1624134928	36	818	853	565
Sat Jun 19 22:35:28 2021	1624134928	38	817	855	600
Sat Jun 19 22:35:28 2021	1624134928	37	823	860	784
Sat Jun 19 22:35:28 2021	1624134928	43	818	861	638
Sat Jun 19 22:35:28 2021	1624134928	38	826	865	681
Sat Jun 19 22:35:28 2021	1624134928	38	864	901	828
Sat Jun 19 22:35:28 2021	1624134928	38	864	902	789
Sat Jun 19 22:35:28 2021	1624134928	37	866	903	752
Sat Jun 19 22:35:28 2021	1624134928	32	902	935	860
