Percentage served,Time in ms
0,18.642
1,66.803
2,66.803
3,67.585
4,67.585
5,67.585
6,67.585
7,68.631
8,68.631
9,71.415
10,71.415
11,87.919
12,87.919
13,163.584
14,163.584
15,171.791
16,171.791
17,191.479
18,191.479
19,244.750
20,244.750
21,265.224
22,265.224
23,284.492
24,284.492
25,325.980
26,325.980
27,331.780
28,331.780
29,450.201
30,450.201
31,558.180
32,558.180
33,811.497
34,811.497
35,848.316
36,848.316
37,891.201
38,891.201
39,904.325
40,904.325
41,905.435
42,905.435
43,909.125
44,909.125
45,948.897
46,948.897
47,990.836
48,990.836
49,1158.145
50,1158.145
51,1205.087
52,1205.087
53,1278.627
54,1278.627
55,1280.627
56,1280.627
57,1300.952
58,1300.952
59,1301.992
60,1301.992
61,1464.393
62,1464.393
63,1467.301
64,1467.301
65,1566.279
66,1566.279
67,1731.760
68,1731.760
69,1737.070
70,1737.070
71,1748.432
72,1748.432
73,1777.605
74,1777.605
75,1880.130
76,1880.130
77,1934.772
78,1934.772
79,2079.952
80,2079.952
81,2094.262
82,2094.262
83,2096.129
84,2096.129
85,2096.469
86,2096.469
87,2109.607
88,2109.607
89,2125.642
90,2125.642
91,2349.845
92,2349.845
93,2367.927
94,2367.927
95,2368.969
96,2368.969
97,3478.162
98,3478.162
99,2084433398.160
100,3478.162
