Percentage served,Time in ms
0,532.053
1,574.482
2,574.482
3,576.187
4,576.187
5,576.348
6,576.348
7,577.089
8,577.089
9,577.460
10,577.460
11,578.522
12,578.522
13,580.135
14,580.135
15,581.252
16,581.252
17,583.326
18,583.326
19,8734.083
20,8734.083
21,12821.334
22,12821.334
23,12970.547
24,12970.547
25,12971.664
26,12971.664
27,12972.969
28,12972.969
29,12975.934
30,12975.934
31,13193.329
32,13193.329
33,13194.435
34,13194.435
35,13195.192
36,13195.192
37,13204.124
38,13204.124
39,13205.894
40,13205.894
41,13663.760
42,13663.760
43,13715.937
44,13715.937
45,13717.297
46,13717.297
47,13721.189
48,13721.189
49,13721.258
50,13721.258
51,13722.120
52,13722.120
53,13722.232
54,13722.232
55,13724.705
56,13724.705
57,13753.119
58,13753.119
59,13797.695
60,13797.695
61,13913.354
62,13913.354
63,13959.171
64,13959.171
65,13994.731
66,13994.731
67,14022.980
68,14022.980
69,14058.502
70,14058.502
71,14080.925
72,14080.925
73,14116.654
74,14116.654
75,14140.801
76,14140.801
77,14166.788
78,14166.788
79,19687.482
80,19687.482
81,19710.801
82,19710.801
83,19732.662
84,19732.662
85,19742.639
86,19742.639
87,19821.250
88,19821.250
89,19994.007
90,19994.007
91,20020.550
92,20020.550
93,20054.650
94,20054.650
95,20088.300
96,20088.300
97,20116.884
98,20116.884
99,2332029234.960
100,20116.884
