starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 19 18:20:53 2021	1624119653	26	208	234	101
Sat Jun 19 18:21:39 2021	1624119699	35	231	266	230
Sat Jun 19 18:21:39 2021	1624119699	31	313	344	313
Sat Jun 19 18:21:39 2021	1624119699	25	347	372	345
Sat Jun 19 18:21:06 2021	1624119666	28	5688	5715	5656
Sat Jun 19 18:21:06 2021	1624119666	29	5713	5742	5713
Sat Jun 19 18:21:06 2021	1624119666	29	5737	5766	5737
Sat Jun 19 18:21:06 2021	1624119666	28	5778	5806	5778
Sat Jun 19 18:21:06 2021	1624119666	23	5803	5827	5803
Sat Jun 19 18:20:53 2021	1624119653	26	6384	6410	0
Sat Jun 19 18:21:39 2021	1624119699	33	6380	6413	0
Sat Jun 19 18:21:39 2021	1624119699	30	6417	6447	0
Sat Jun 19 18:21:33 2021	1624119693	38	6410	6447	6409
Sat Jun 19 18:21:33 2021	1624119693	27	6504	6531	6418
Sat Jun 19 18:21:33 2021	1624119693	29	6538	6567	6483
Sat Jun 19 18:21:33 2021	1624119693	25	6542	6568	6542
Sat Jun 19 18:21:33 2021	1624119693	31	6537	6568	6512
Sat Jun 19 18:21:53 2021	1624119713	31	6687	6717	6658
Sat Jun 19 18:21:53 2021	1624119713	28	6776	6804	6745
Sat Jun 19 18:21:53 2021	1624119713	25	6788	6813	6788
Sat Jun 19 18:21:53 2021	1624119713	30	6823	6853	6822
Sat Jun 19 18:21:00 2021	1624119660	25	6850	6875	6770
Sat Jun 19 18:21:53 2021	1624119713	33	6869	6902	6869
Sat Jun 19 18:21:46 2021	1624119706	28	7098	7126	7065
Sat Jun 19 18:21:46 2021	1624119706	27	7251	7278	7251
Sat Jun 19 18:22:12 2021	1624119732	30	7434	7464	7434
Sat Jun 19 18:22:12 2021	1624119732	28	7488	7516	7487
Sat Jun 19 18:22:12 2021	1624119732	29	7608	7637	7607
Sat Jun 19 18:21:12 2021	1624119672	30	8842	8873	8841
Sat Jun 19 18:21:12 2021	1624119672	29	8901	8930	8811
Sat Jun 19 18:21:12 2021	1624119672	31	8900	8930	8839
Sat Jun 19 18:21:12 2021	1624119672	31	8929	8960	8901
Sat Jun 19 18:21:12 2021	1624119672	28	8933	8961	8933
Sat Jun 19 18:21:21 2021	1624119681	29	11389	11418	0
Sat Jun 19 18:21:21 2021	1624119681	29	11534	11563	0
Sat Jun 19 18:21:21 2021	1624119681	27	11537	11564	0
Sat Jun 19 18:21:21 2021	1624119681	33	11534	11566	0
Sat Jun 19 18:21:21 2021	1624119681	30	11541	11571	0
Sat Jun 19 18:22:00 2021	1624119720	25	12521	12547	12521
Sat Jun 19 18:22:00 2021	1624119720	27	12635	12662	12635
Sat Jun 19 18:22:00 2021	1624119720	23	12662	12685	12613
Sat Jun 19 18:20:53 2021	1624119653	26	13121	13147	13098
Sat Jun 19 18:20:53 2021	1624119653	33	13116	13149	13064
Sat Jun 19 18:20:53 2021	1624119653	26	13124	13151	13123
Sat Jun 19 18:20:53 2021	1624119653	30	13123	13153	13123
Sat Jun 19 18:21:40 2021	1624119700	31	13161	13192	13161
Sat Jun 19 18:22:00 2021	1624119720	29	13279	13309	13276
Sat Jun 19 18:21:39 2021	1624119699	30	13302	13331	13302
Sat Jun 19 18:21:40 2021	1624119700	27	13322	13349	13322
Sat Jun 19 18:22:00 2021	1624119720	29	13333	13362	13333
