starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 19 15:58:34 2021	1624111114	22	24	46	23
Sat Jun 19 15:58:27 2021	1624111107	22	24	46	23
Sat Jun 19 15:58:51 2021	1624111131	22	24	46	23
Sat Jun 19 15:58:28 2021	1624111108	23	23	47	22
Sat Jun 19 15:58:28 2021	1624111108	23	24	47	23
Sat Jun 19 15:58:51 2021	1624111131	22	25	47	25
Sat Jun 19 15:58:39 2021	1624111119	23	24	47	23
Sat Jun 19 15:58:46 2021	1624111126	24	23	47	23
Sat Jun 19 15:58:38 2021	1624111118	22	25	47	24
Sat Jun 19 15:58:45 2021	1624111125	23	25	47	24
Sat Jun 19 15:58:40 2021	1624111120	23	24	47	23
Sat Jun 19 15:58:33 2021	1624111113	22	26	48	25
Sat Jun 19 15:58:47 2021	1624111127	24	24	48	23
Sat Jun 19 15:58:35 2021	1624111115	22	25	48	24
Sat Jun 19 15:58:53 2021	1624111133	22	26	48	25
Sat Jun 19 15:58:29 2021	1624111109	25	24	48	23
Sat Jun 19 15:58:28 2021	1624111108	23	25	49	24
Sat Jun 19 15:58:33 2021	1624111113	25	24	49	24
Sat Jun 19 15:58:51 2021	1624111131	24	25	49	23
Sat Jun 19 15:58:49 2021	1624111129	25	24	49	23
Sat Jun 19 15:58:26 2021	1624111106	23	26	49	25
Sat Jun 19 15:58:35 2021	1624111115	23	26	49	25
Sat Jun 19 15:58:37 2021	1624111117	25	24	49	23
Sat Jun 19 15:58:41 2021	1624111121	22	27	49	26
Sat Jun 19 15:58:33 2021	1624111113	24	26	49	25
Sat Jun 19 15:58:27 2021	1624111107	26	23	50	21
Sat Jun 19 15:58:54 2021	1624111134	25	25	50	24
Sat Jun 19 15:58:39 2021	1624111119	24	26	50	25
Sat Jun 19 15:58:29 2021	1624111109	24	26	50	26
Sat Jun 19 15:58:50 2021	1624111130	26	23	50	23
Sat Jun 19 15:58:48 2021	1624111128	23	27	50	25
Sat Jun 19 15:58:32 2021	1624111112	25	25	50	25
Sat Jun 19 15:58:30 2021	1624111110	22	28	50	27
Sat Jun 19 15:58:49 2021	1624111129	25	25	50	23
Sat Jun 19 15:58:40 2021	1624111120	26	24	50	23
Sat Jun 19 15:58:27 2021	1624111107	26	24	50	23
Sat Jun 19 15:58:39 2021	1624111119	27	24	51	23
Sat Jun 19 15:58:44 2021	1624111124	23	27	51	27
Sat Jun 19 15:58:50 2021	1624111130	25	26	51	25
Sat Jun 19 15:58:51 2021	1624111131	25	26	51	26
Sat Jun 19 15:58:34 2021	1624111114	28	23	51	22
Sat Jun 19 15:58:28 2021	1624111108	28	24	51	23
Sat Jun 19 15:58:39 2021	1624111119	27	24	51	23
Sat Jun 19 15:58:40 2021	1624111120	24	27	51	26
Sat Jun 19 15:58:26 2021	1624111106	27	25	51	25
Sat Jun 19 15:58:40 2021	1624111120	27	25	51	24
Sat Jun 19 15:58:35 2021	1624111115	22	30	51	30
Sat Jun 19 15:58:48 2021	1624111128	28	24	51	23
Sat Jun 19 15:58:50 2021	1624111130	26	26	51	25
Sat Jun 19 15:58:50 2021	1624111130	25	26	51	24
