starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 19 16:07:56 2021	1624111676	26	25	51	24
Sat Jun 19 16:07:56 2021	1624111676	26	27	53	26
Sat Jun 19 16:07:56 2021	1624111676	23	30	54	30
Sat Jun 19 16:07:56 2021	1624111676	31	24	55	23
Sat Jun 19 16:07:56 2021	1624111676	32	27	59	26
Sat Jun 19 16:07:56 2021	1624111676	30	31	61	30
Sat Jun 19 16:07:55 2021	1624111675	30	33	64	32
Sat Jun 19 16:07:56 2021	1624111676	35	31	66	30
Sat Jun 19 16:07:56 2021	1624111676	40	34	74	34
Sat Jun 19 16:07:55 2021	1624111675	29	63	92	62
