Percentage served,Time in ms
0,59.261
1,180.117
2,334.125
3,475.660
4,571.157
5,573.992
6,574.640
7,575.602
8,576.552
9,577.441
10,578.342
11,579.156
12,579.934
13,580.343
14,580.723
15,580.989
16,581.298
17,582.036
18,582.114
19,582.562
20,583.166
21,583.579
22,583.955
23,584.287
24,584.571
25,585.081
26,585.458
27,586.081
28,586.310
29,586.847
30,587.143
31,587.442
32,587.939
33,588.230
34,588.576
35,589.124
36,589.688
37,589.871
38,590.615
39,591.118
40,591.413
41,591.804
42,592.082
43,592.361
44,592.932
45,593.036
46,593.410
47,593.613
48,593.905
49,594.300
50,594.424
51,594.761
52,594.850
53,595.160
54,595.422
55,595.622
56,596.215
57,596.422
58,596.637
59,596.993
60,597.188
61,597.523
62,597.929
63,598.088
64,598.296
65,598.805
66,598.956
67,599.352
68,599.855
69,600.084
70,600.346
71,600.984
72,601.711
73,601.985
74,602.272
75,602.562
76,602.879
77,603.168
78,603.462
79,603.775
80,604.018
81,604.134
82,604.375
83,604.863
84,605.303
85,605.724
86,606.214
87,606.760
88,607.467
89,607.769
90,608.340
91,608.821
92,610.669
93,611.044
94,611.552
95,613.423
96,614.320
97,615.344
98,616.373
99,617.357
100,622.108
