Percentage served,Time in ms
0,6.001
1,10.000
2,12.001
3,12.999
4,14.152
5,14.999
6,15.001
7,15.969
8,16.001
9,16.152
10,16.999
11,17.028
12,17.999
13,18.000
14,18.170
15,18.998
16,18.999
17,19.001
18,19.172
19,19.998
20,20.000
21,20.001
22,20.169
23,20.902
24,20.998
25,21.000
26,21.001
27,21.001
28,21.002
29,21.031
30,21.421
31,21.983
32,21.999
33,22.000
34,22.000
35,22.001
36,22.008
37,22.168
38,22.499
39,22.998
40,22.999
41,23.000
42,23.001
43,23.017
44,23.206
45,23.500
46,23.970
47,24.000
48,24.000
49,24.001
50,24.019
51,24.147
52,24.383
53,24.973
54,25.000
55,25.001
56,25.152
57,25.950
58,25.972
59,25.999
60,26.001
61,26.284
62,26.550
63,26.999
64,27.000
65,27.002
66,27.179
67,27.502
68,27.951
69,27.999
70,28.002
71,28.442
72,28.571
73,29.000
74,29.002
75,29.315
76,29.996
77,30.003
78,30.443
79,30.999
80,31.045
81,31.998
82,32.001
83,32.364
84,32.971
85,33.343
86,33.970
87,34.001
88,34.376
89,34.999
90,35.403
91,35.996
92,37.000
93,37.474
94,38.036
95,39.443
96,41.804
97,44.704
98,47.001
99,51.807
100,56.698
