starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 19 22:31:32 2021	1624134692	0	3	3	3
Sat Jun 19 22:31:43 2021	1624134703	0	4	4	4
Sat Jun 19 22:31:26 2021	1624134686	0	4	4	4
Sat Jun 19 22:31:32 2021	1624134692	1	3	4	3
Sat Jun 19 22:31:26 2021	1624134686	0	4	4	4
Sat Jun 19 22:31:43 2021	1624134703	0	4	4	4
Sat Jun 19 22:31:26 2021	1624134686	0	5	5	4
Sat Jun 19 22:31:43 2021	1624134703	0	6	6	6
Sat Jun 19 22:31:26 2021	1624134686	0	7	7	7
Sat Jun 19 22:31:32 2021	1624134692	0	7	7	7
Sat Jun 19 22:31:26 2021	1624134686	0	7	7	7
Sat Jun 19 22:31:44 2021	1624134704	2	5	7	5
Sat Jun 19 22:31:32 2021	1624134692	3	4	7	4
Sat Jun 19 22:31:32 2021	1624134692	0	7	7	7
Sat Jun 19 22:31:26 2021	1624134686	1	6	7	6
Sat Jun 19 22:31:32 2021	1624134692	2	5	7	5
Sat Jun 19 22:31:32 2021	1624134692	0	7	7	7
Sat Jun 19 22:31:26 2021	1624134686	0	8	8	5
Sat Jun 19 22:31:32 2021	1624134692	0	8	8	8
Sat Jun 19 22:31:26 2021	1624134686	1	7	8	7
Sat Jun 19 22:31:26 2021	1624134686	4	4	8	4
Sat Jun 19 22:31:44 2021	1624134704	0	10	10	10
Sat Jun 19 22:31:26 2021	1624134686	0	11	11	11
Sat Jun 19 22:31:26 2021	1624134686	3	9	12	9
Sat Jun 19 22:31:26 2021	1624134686	0	13	13	13
Sat Jun 19 22:31:44 2021	1624134704	0	13	13	13
Sat Jun 19 22:31:32 2021	1624134692	2	14	16	14
Sat Jun 19 22:31:41 2021	1624134701	0	19	19	19
Sat Jun 19 22:31:35 2021	1624134695	1	18	19	18
Sat Jun 19 22:31:35 2021	1624134695	1	18	19	18
Sat Jun 19 22:31:35 2021	1624134695	1	22	24	22
Sat Jun 19 22:31:44 2021	1624134704	0	28	28	28
Sat Jun 19 22:31:35 2021	1624134695	1	28	29	28
Sat Jun 19 22:31:26 2021	1624134686	0	34	34	34
Sat Jun 19 22:31:32 2021	1624134692	0	35	35	35
Sat Jun 19 22:31:30 2021	1624134690	2	35	37	35
Sat Jun 19 22:31:32 2021	1624134692	1	43	44	43
Sat Jun 19 22:31:31 2021	1624134691	0	51	51	51
Sat Jun 19 22:31:30 2021	1624134690	1	53	54	53
Sat Jun 19 22:31:35 2021	1624134695	1	56	57	56
Sat Jun 19 22:31:46 2021	1624134706	0	60	60	60
Sat Jun 19 22:31:41 2021	1624134701	1	59	60	57
Sat Jun 19 22:31:32 2021	1624134692	0	61	61	60
Sat Jun 19 22:31:30 2021	1624134690	1	65	66	65
Sat Jun 19 22:31:31 2021	1624134691	0	67	67	67
Sat Jun 19 22:31:30 2021	1624134690	0	68	68	68
Sat Jun 19 22:31:26 2021	1624134686	1	69	70	69
Sat Jun 19 22:31:30 2021	1624134690	1	85	86	85
Sat Jun 19 22:31:46 2021	1624134706	0	87	87	86
Sat Jun 19 22:31:45 2021	1624134705	0	91	91	90
Sat Jun 19 22:31:30 2021	1624134690	1	101	101	100
Sat Jun 19 22:31:45 2021	1624134705	0	115	115	115
Sat Jun 19 22:31:32 2021	1624134692	1	132	133	132
Sat Jun 19 22:31:26 2021	1624134686	1	146	147	146
Sat Jun 19 22:31:32 2021	1624134692	1	159	160	159
Sat Jun 19 22:31:26 2021	1624134686	0	198	198	198
Sat Jun 19 22:31:36 2021	1624134696	1	243	244	0
Sat Jun 19 22:31:35 2021	1624134695	4	256	260	256
Sat Jun 19 22:31:26 2021	1624134686	1	342	343	342
Sat Jun 19 22:31:46 2021	1624134706	0	362	362	362
Sat Jun 19 22:31:26 2021	1624134686	0	413	413	413
Sat Jun 19 22:31:46 2021	1624134706	1	438	439	438
Sat Jun 19 22:31:45 2021	1624134705	6	454	460	453
Sat Jun 19 22:31:31 2021	1624134691	3	540	543	540
Sat Jun 19 22:31:32 2021	1624134692	0	609	609	609
Sat Jun 19 22:31:44 2021	1624134704	0	915	915	915
Sat Jun 19 22:31:22 2021	1624134682	0	1013	1013	1013
Sat Jun 19 22:31:27 2021	1624134687	0	1018	1018	1018
Sat Jun 19 22:31:30 2021	1624134690	1	1173	1173	1173
Sat Jun 19 22:31:43 2021	1624134703	1	1231	1232	1231
Sat Jun 19 22:31:41 2021	1624134701	1	1286	1287	1286
Sat Jun 19 22:31:28 2021	1624134688	1	1689	1690	1689
Sat Jun 19 22:31:23 2021	1624134683	1	2035	2036	2035
Sat Jun 19 22:31:33 2021	1624134693	1	2362	2363	2362
Sat Jun 19 22:31:38 2021	1624134698	1028	2429	3457	2415
