starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 19 18:02:02 2021	1624118522	22	106	128	106
Sat Jun 19 18:02:02 2021	1624118522	27	363	390	362
Sat Jun 19 18:02:00 2021	1624118520	23	1929	1953	1827
Sat Jun 19 18:02:02 2021	1624118522	26	2784	2810	2783
Sat Jun 19 18:02:02 2021	1624118522	26	2867	2893	2867
Sat Jun 19 18:02:02 2021	1624118522	29	3060	3090	3060
Sat Jun 19 18:02:02 2021	1624118522	26	3083	3109	3083
Sat Jun 19 18:02:05 2021	1624118525	25	3594	3619	3593
Sat Jun 19 18:02:05 2021	1624118525	28	3921	3949	3921
Sat Jun 19 18:02:10 2021	1624118530	21	4103	4124	4051
Sat Jun 19 18:02:10 2021	1624118530	30	4124	4155	4072
Sat Jun 19 18:02:14 2021	1624118534	26	4528	4554	4527
Sat Jun 19 18:02:14 2021	1624118534	27	4582	4609	4581
Sat Jun 19 18:02:05 2021	1624118525	32	4702	4735	4702
Sat Jun 19 18:02:05 2021	1624118525	30	5008	5038	5008
Sat Jun 19 18:02:09 2021	1624118529	28	5104	5132	5104
Sat Jun 19 18:02:09 2021	1624118529	27	5130	5157	5104
Sat Jun 19 18:02:09 2021	1624118529	27	5158	5186	5158
Sat Jun 19 18:02:14 2021	1624118534	26	6033	6060	6032
Sat Jun 19 18:02:02 2021	1624118522	25	6427	6452	6400
