Percentage served,Time in ms
0,155.886
1,2603.224
2,2603.224
3,3823.959
4,3823.959
5,3847.582
6,3847.582
7,4089.314
8,4089.314
9,4114.942
10,4114.942
11,4115.255
12,4115.255
13,4158.084
14,4158.084
15,4159.489
16,4159.489
17,4183.433
18,4183.433
19,4190.724
20,4190.724
21,4192.783
22,4192.783
23,4194.304
24,4194.304
25,4194.556
26,4194.556
27,4197.553
28,4197.553
29,4204.001
30,4204.001
31,4217.221
32,4217.221
33,4217.730
34,4217.730
35,4223.090
36,4223.090
37,4235.426
38,4235.426
39,4255.087
40,4255.087
41,4275.441
42,4275.441
43,4278.033
44,4278.033
45,4281.189
46,4281.189
47,4281.843
48,4281.843
49,4281.920
50,4281.920
51,4354.545
52,4354.545
53,4365.118
54,4365.118
55,4383.205
56,4383.205
57,4412.603
58,4412.603
59,4412.746
60,4412.746
61,4646.125
62,4646.125
63,4722.081
64,4722.081
65,4870.191
66,4870.191
67,5346.692
68,5346.692
69,5364.159
70,5364.159
71,5433.985
72,5433.985
73,5438.092
74,5438.092
75,5675.234
76,5675.234
77,5677.745
78,5677.745
79,6388.535
80,6388.535
81,6410.899
82,6410.899
83,6431.736
84,6431.736
85,6445.124
86,6445.124
87,6447.122
88,6447.122
89,6500.547
90,6500.547
91,6529.066
92,6529.066
93,6582.635
94,6582.635
95,6958.693
96,6958.693
97,7041.359
98,7041.359
99,2478648305.232
100,7041.359
