Percentage served,Time in ms
0,41.000
1,42.287
2,45.344
3,45.827
4,46.559
5,46.625
6,46.802
7,46.837
8,47.033
9,47.585
10,47.639
11,47.666
12,47.906
13,47.913
14,48.009
15,48.010
16,48.050
17,48.641
18,48.826
19,48.895
20,48.919
21,49.188
22,49.456
23,49.568
24,49.913
25,50.177
26,50.177
27,50.177
28,50.365
29,50.392
30,50.459
31,50.571
32,50.641
33,50.656
34,50.679
35,50.916
36,50.953
37,51.011
38,51.035
39,51.090
40,51.144
41,51.439
42,51.604
43,51.609
44,51.896
45,51.990
46,52.078
47,52.125
48,52.242
49,52.290
50,52.348
51,52.716
52,52.811
53,53.224
54,53.485
55,53.492
56,53.677
57,53.781
58,53.862
59,54.013
60,54.095
61,54.126
62,54.128
63,54.249
64,54.345
65,54.348
66,54.358
67,54.365
68,54.385
69,54.587
70,54.615
71,54.706
72,55.031
73,55.323
74,55.495
75,55.681
76,55.999
77,56.560
78,56.901
79,57.327
80,57.557
81,58.177
82,58.480
83,59.040
84,59.127
85,59.271
86,59.277
87,59.300
88,59.316
89,59.366
90,59.952
91,60.000
92,60.297
93,60.304
94,61.739
95,62.045
96,62.156
97,62.440
98,63.937
99,64.207
100,64.207
