starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 19 15:56:54 2021	1624111014	44	34	77	34
Sat Jun 19 15:56:54 2021	1624111014	34	46	79	45
Sat Jun 19 15:56:54 2021	1624111014	33	79	112	78
Sat Jun 19 15:56:54 2021	1624111014	36	113	149	112
Sat Jun 19 15:56:54 2021	1624111014	34	149	183	148
Sat Jun 19 15:56:54 2021	1624111014	33	183	216	182
Sat Jun 19 15:56:54 2021	1624111014	35	216	251	215
Sat Jun 19 15:56:54 2021	1624111014	31	251	282	250
Sat Jun 19 15:56:54 2021	1624111014	33	283	315	282
Sat Jun 19 15:56:54 2021	1624111014	36	315	352	314
Sat Jun 19 15:56:54 2021	1624111014	37	352	388	351
Sat Jun 19 15:56:53 2021	1624111013	32	388	421	386
Sat Jun 19 15:56:53 2021	1624111013	34	421	455	419
Sat Jun 19 15:56:53 2021	1624111013	34	454	487	453
Sat Jun 19 15:56:53 2021	1624111013	35	487	522	486
Sat Jun 19 15:56:53 2021	1624111013	33	522	555	521
Sat Jun 19 15:56:53 2021	1624111013	32	555	587	554
Sat Jun 19 15:56:53 2021	1624111013	36	588	625	586
Sat Jun 19 15:56:53 2021	1624111013	35	625	659	624
Sat Jun 19 15:56:53 2021	1624111013	38	660	698	659
Sat Jun 19 15:56:53 2021	1624111013	34	698	732	697
Sat Jun 19 15:56:53 2021	1624111013	33	732	765	731
Sat Jun 19 15:56:53 2021	1624111013	36	766	802	765
Sat Jun 19 15:56:53 2021	1624111013	32	802	834	801
Sat Jun 19 15:56:53 2021	1624111013	30	834	864	833
Sat Jun 19 15:56:53 2021	1624111013	32	864	896	863
Sat Jun 19 15:56:53 2021	1624111013	35	896	930	895
Sat Jun 19 15:56:53 2021	1624111013	32	929	962	66
Sat Jun 19 15:56:33 2021	1624110993	32	958	990	163
Sat Jun 19 15:56:33 2021	1624110993	32	960	992	131
Sat Jun 19 15:56:33 2021	1624110993	31	962	993	63
Sat Jun 19 15:56:43 2021	1624111003	32	961	993	928
Sat Jun 19 15:56:50 2021	1624111010	36	957	993	163
Sat Jun 19 15:56:26 2021	1624110986	29	966	995	934
Sat Jun 19 15:56:33 2021	1624110993	35	960	995	96
Sat Jun 19 15:56:34 2021	1624110994	29	965	995	34
Sat Jun 19 15:56:50 2021	1624111010	33	962	995	200
Sat Jun 19 15:56:33 2021	1624110993	39	956	995	195
Sat Jun 19 15:56:24 2021	1624110984	30	965	996	933
Sat Jun 19 15:56:25 2021	1624110985	33	963	996	130
Sat Jun 19 15:56:33 2021	1624110993	33	963	996	234
Sat Jun 19 15:56:26 2021	1624110986	36	961	996	898
Sat Jun 19 15:56:34 2021	1624110994	31	966	997	932
Sat Jun 19 15:56:34 2021	1624110994	33	963	997	963
Sat Jun 19 15:56:43 2021	1624111003	30	967	997	899
Sat Jun 19 15:56:26 2021	1624110986	33	964	997	865
Sat Jun 19 15:56:33 2021	1624110993	38	959	997	267
Sat Jun 19 15:56:26 2021	1624110986	31	967	997	99
Sat Jun 19 15:56:53 2021	1624111013	36	962	997	99
Sat Jun 19 15:56:33 2021	1624110993	33	964	998	335
Sat Jun 19 15:56:50 2021	1624111010	29	969	998	337
Sat Jun 19 15:56:26 2021	1624110986	35	963	998	963
Sat Jun 19 15:56:26 2021	1624110986	35	963	998	830
Sat Jun 19 15:56:33 2021	1624110993	31	967	998	305
Sat Jun 19 15:56:50 2021	1624111010	34	965	998	267
Sat Jun 19 15:56:43 2021	1624111003	37	962	998	961
Sat Jun 19 15:56:47 2021	1624111007	34	965	999	138
Sat Jun 19 15:56:43 2021	1624111003	31	967	999	868
Sat Jun 19 15:56:50 2021	1624111010	33	967	999	468
Sat Jun 19 15:56:34 2021	1624110994	29	971	999	867
Sat Jun 19 15:56:50 2021	1624111010	30	969	999	133
Sat Jun 19 15:56:50 2021	1624111010	32	967	999	402
Sat Jun 19 15:56:34 2021	1624110994	32	968	1000	464
Sat Jun 19 15:56:25 2021	1624110985	32	969	1000	201
Sat Jun 19 15:56:50 2021	1624111010	34	966	1000	434
Sat Jun 19 15:56:37 2021	1624110997	34	966	1000	94
Sat Jun 19 15:56:24 2021	1624110984	36	964	1000	964
Sat Jun 19 15:56:43 2021	1624111003	35	966	1000	37
Sat Jun 19 15:56:34 2021	1624110994	35	965	1001	897
Sat Jun 19 15:56:50 2021	1624111010	34	967	1001	233
Sat Jun 19 15:56:47 2021	1624111007	33	968	1001	340
Sat Jun 19 15:56:34 2021	1624110994	31	970	1001	433
Sat Jun 19 15:56:50 2021	1624111010	37	965	1001	300
Sat Jun 19 15:56:26 2021	1624110986	36	966	1002	966
Sat Jun 19 15:56:24 2021	1624110984	34	967	1002	936
Sat Jun 19 15:56:43 2021	1624111003	33	968	1002	107
Sat Jun 19 15:56:47 2021	1624111007	34	968	1002	208
Sat Jun 19 15:56:50 2021	1624111010	36	966	1002	366
Sat Jun 19 15:56:50 2021	1624111010	35	967	1002	501
Sat Jun 19 15:56:25 2021	1624110985	36	966	1002	164
Sat Jun 19 15:56:50 2021	1624111010	32	970	1002	536
Sat Jun 19 15:56:25 2021	1624110985	36	966	1002	300
Sat Jun 19 15:56:43 2021	1624111003	36	966	1002	72
Sat Jun 19 15:56:47 2021	1624111007	35	967	1002	172
Sat Jun 19 15:56:25 2021	1624110985	34	969	1002	266
Sat Jun 19 15:56:30 2021	1624110990	33	970	1003	101
Sat Jun 19 15:56:40 2021	1624111000	34	969	1003	495
Sat Jun 19 15:56:47 2021	1624111007	34	969	1003	242
Sat Jun 19 15:56:31 2021	1624110991	31	972	1003	32
Sat Jun 19 15:56:40 2021	1624111000	34	969	1003	528
Sat Jun 19 15:56:47 2021	1624111007	32	972	1003	307
Sat Jun 19 15:56:50 2021	1624111010	34	969	1003	568
Sat Jun 19 15:56:40 2021	1624111000	33	970	1003	462
Sat Jun 19 15:56:34 2021	1624110994	34	969	1003	496
Sat Jun 19 15:56:25 2021	1624110985	33	971	1003	233
Sat Jun 19 15:56:25 2021	1624110985	34	970	1003	336
