Percentage served,Time in ms
0,66.444
1,214.757
2,321.630
3,323.604
4,324.303
5,326.347
6,328.170
7,328.581
8,328.723
9,329.323
10,329.993
11,330.319
12,330.716
13,331.029
14,331.513
15,331.784
16,331.881
17,332.187
18,332.270
19,332.464
20,332.718
21,333.004
22,333.106
23,333.317
24,333.631
25,333.847
26,334.089
27,334.509
28,334.677
29,335.016
30,335.201
31,335.388
32,335.647
33,335.821
34,336.139
35,336.286
36,336.442
37,336.674
38,337.000
39,337.275
40,337.475
41,337.611
42,337.733
43,337.938
44,338.209
45,338.407
46,338.473
47,338.679
48,338.838
49,338.928
50,339.071
51,339.173
52,339.507
53,339.771
54,340.013
55,340.105
56,340.467
57,340.799
58,340.991
59,341.185
60,341.375
61,341.760
62,341.992
63,342.220
64,342.450
65,342.628
66,342.833
67,342.999
68,343.489
69,343.835
70,344.177
71,344.452
72,344.865
73,345.112
74,345.273
75,345.557
76,345.889
77,346.131
78,346.412
79,346.776
80,346.989
81,347.311
82,347.704
83,347.902
84,348.372
85,348.791
86,349.451
87,349.564
88,349.918
89,350.155
90,350.648
91,351.097
92,351.683
93,352.643
94,353.235
95,354.373
96,355.245
97,357.097
98,358.101
99,359.435
100,361.657
