starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 19 15:44:32 2021	1624110272	1	16	17	15
Sat Jun 19 15:44:32 2021	1624110272	0	17	17	17
Sat Jun 19 15:44:32 2021	1624110272	0	17	17	16
Sat Jun 19 15:44:32 2021	1624110272	0	18	18	17
Sat Jun 19 15:44:32 2021	1624110272	0	18	18	15
Sat Jun 19 15:44:32 2021	1624110272	0	18	18	15
Sat Jun 19 15:44:32 2021	1624110272	0	18	18	15
Sat Jun 19 15:44:32 2021	1624110272	1	17	18	15
Sat Jun 19 15:44:32 2021	1624110272	0	18	18	16
Sat Jun 19 15:44:32 2021	1624110272	0	18	18	14
Sat Jun 19 15:44:32 2021	1624110272	0	18	18	14
Sat Jun 19 15:44:32 2021	1624110272	0	18	18	16
Sat Jun 19 15:44:32 2021	1624110272	0	19	19	18
Sat Jun 19 15:44:32 2021	1624110272	1	18	19	14
Sat Jun 19 15:44:32 2021	1624110272	1	18	19	13
Sat Jun 19 15:44:32 2021	1624110272	1	18	19	18
Sat Jun 19 15:44:32 2021	1624110272	0	19	19	19
Sat Jun 19 15:44:32 2021	1624110272	1	19	20	2
Sat Jun 19 15:44:32 2021	1624110272	0	20	20	20
Sat Jun 19 15:44:32 2021	1624110272	0	20	20	20
Sat Jun 19 15:44:32 2021	1624110272	1	19	20	19
Sat Jun 19 15:44:32 2021	1624110272	0	21	21	20
Sat Jun 19 15:44:32 2021	1624110272	1	20	21	20
Sat Jun 19 15:44:32 2021	1624110272	0	21	21	18
Sat Jun 19 15:44:32 2021	1624110272	0	21	21	19
Sat Jun 19 15:44:32 2021	1624110272	0	21	21	21
Sat Jun 19 15:44:32 2021	1624110272	1	20	21	19
Sat Jun 19 15:44:32 2021	1624110272	0	21	21	21
Sat Jun 19 15:44:32 2021	1624110272	0	21	21	20
Sat Jun 19 15:44:32 2021	1624110272	0	21	21	21
Sat Jun 19 15:44:32 2021	1624110272	0	22	22	22
Sat Jun 19 15:44:32 2021	1624110272	0	22	22	22
Sat Jun 19 15:44:32 2021	1624110272	0	22	22	18
Sat Jun 19 15:44:32 2021	1624110272	1	22	23	22
Sat Jun 19 15:44:32 2021	1624110272	0	23	23	22
Sat Jun 19 15:44:32 2021	1624110272	0	23	23	23
Sat Jun 19 15:44:32 2021	1624110272	0	23	23	21
Sat Jun 19 15:44:32 2021	1624110272	0	23	23	19
Sat Jun 19 15:44:32 2021	1624110272	1	22	23	17
Sat Jun 19 15:44:32 2021	1624110272	0	23	23	18
Sat Jun 19 15:44:32 2021	1624110272	0	24	24	22
Sat Jun 19 15:44:32 2021	1624110272	0	24	24	24
Sat Jun 19 15:44:32 2021	1624110272	0	24	24	23
Sat Jun 19 15:44:32 2021	1624110272	0	24	24	22
Sat Jun 19 15:44:32 2021	1624110272	0	24	24	22
Sat Jun 19 15:44:32 2021	1624110272	0	24	24	23
Sat Jun 19 15:44:32 2021	1624110272	0	24	24	24
Sat Jun 19 15:44:32 2021	1624110272	0	24	24	24
Sat Jun 19 15:44:32 2021	1624110272	0	25	25	22
Sat Jun 19 15:44:32 2021	1624110272	1	24	25	23
Sat Jun 19 15:44:32 2021	1624110272	0	25	25	24
Sat Jun 19 15:44:32 2021	1624110272	0	25	25	25
Sat Jun 19 15:44:32 2021	1624110272	0	25	25	25
Sat Jun 19 15:44:32 2021	1624110272	0	25	25	24
Sat Jun 19 15:44:32 2021	1624110272	0	25	25	24
Sat Jun 19 15:44:32 2021	1624110272	1	24	25	23
Sat Jun 19 15:44:32 2021	1624110272	0	25	25	23
Sat Jun 19 15:44:32 2021	1624110272	0	25	25	19
Sat Jun 19 15:44:32 2021	1624110272	0	25	25	25
Sat Jun 19 15:44:32 2021	1624110272	1	25	26	25
Sat Jun 19 15:44:32 2021	1624110272	5	21	26	19
Sat Jun 19 15:44:32 2021	1624110272	0	26	26	26
Sat Jun 19 15:44:32 2021	1624110272	1	25	26	24
Sat Jun 19 15:44:32 2021	1624110272	1	25	26	17
Sat Jun 19 15:44:32 2021	1624110272	0	26	26	25
Sat Jun 19 15:44:32 2021	1624110272	0	26	26	25
Sat Jun 19 15:44:32 2021	1624110272	0	26	26	24
Sat Jun 19 15:44:32 2021	1624110272	0	26	26	25
Sat Jun 19 15:44:32 2021	1624110272	0	26	26	25
Sat Jun 19 15:44:32 2021	1624110272	0	26	26	25
Sat Jun 19 15:44:32 2021	1624110272	0	26	26	26
Sat Jun 19 15:44:32 2021	1624110272	0	26	26	26
Sat Jun 19 15:44:32 2021	1624110272	1	25	26	24
Sat Jun 19 15:44:32 2021	1624110272	0	26	26	17
Sat Jun 19 15:44:32 2021	1624110272	0	26	26	17
Sat Jun 19 15:44:32 2021	1624110272	0	26	26	25
Sat Jun 19 15:44:32 2021	1624110272	0	26	26	26
Sat Jun 19 15:44:32 2021	1624110272	0	26	26	23
Sat Jun 19 15:44:32 2021	1624110272	0	26	26	22
Sat Jun 19 15:44:32 2021	1624110272	0	26	26	22
Sat Jun 19 15:44:32 2021	1624110272	0	26	26	22
Sat Jun 19 15:44:32 2021	1624110272	0	27	27	27
Sat Jun 19 15:44:32 2021	1624110272	0	27	27	26
Sat Jun 19 15:44:32 2021	1624110272	0	27	27	22
Sat Jun 19 15:44:32 2021	1624110272	0	27	27	27
Sat Jun 19 15:44:32 2021	1624110272	0	27	27	26
Sat Jun 19 15:44:32 2021	1624110272	0	27	27	25
Sat Jun 19 15:44:32 2021	1624110272	0	27	27	26
Sat Jun 19 15:44:32 2021	1624110272	0	27	27	27
Sat Jun 19 15:44:32 2021	1624110272	0	27	27	26
Sat Jun 19 15:44:32 2021	1624110272	0	27	27	26
Sat Jun 19 15:44:32 2021	1624110272	0	27	27	27
Sat Jun 19 15:44:32 2021	1624110272	0	27	27	23
Sat Jun 19 15:44:32 2021	1624110272	1	26	27	24
Sat Jun 19 15:44:32 2021	1624110272	0	27	27	26
Sat Jun 19 15:44:32 2021	1624110272	0	27	27	25
Sat Jun 19 15:44:32 2021	1624110272	0	27	27	25
Sat Jun 19 15:44:32 2021	1624110272	1	26	27	24
Sat Jun 19 15:44:32 2021	1624110272	1	26	27	25
Sat Jun 19 15:44:32 2021	1624110272	0	27	27	26
Sat Jun 19 15:44:32 2021	1624110272	0	27	27	25
Sat Jun 19 15:44:32 2021	1624110272	1	26	27	23
Sat Jun 19 15:44:32 2021	1624110272	1	26	27	24
Sat Jun 19 15:44:32 2021	1624110272	0	27	27	23
Sat Jun 19 15:44:32 2021	1624110272	0	27	27	23
Sat Jun 19 15:44:32 2021	1624110272	0	27	27	27
Sat Jun 19 15:44:32 2021	1624110272	1	27	28	27
Sat Jun 19 15:44:32 2021	1624110272	0	28	28	20
Sat Jun 19 15:44:32 2021	1624110272	0	28	28	20
Sat Jun 19 15:44:32 2021	1624110272	0	28	28	16
Sat Jun 19 15:44:32 2021	1624110272	0	28	28	27
Sat Jun 19 15:44:32 2021	1624110272	0	28	28	27
Sat Jun 19 15:44:32 2021	1624110272	1	27	28	25
Sat Jun 19 15:44:32 2021	1624110272	1	27	28	26
Sat Jun 19 15:44:32 2021	1624110272	0	28	28	28
Sat Jun 19 15:44:32 2021	1624110272	0	28	28	28
Sat Jun 19 15:44:32 2021	1624110272	0	28	28	21
Sat Jun 19 15:44:32 2021	1624110272	0	28	28	28
Sat Jun 19 15:44:32 2021	1624110272	1	27	28	27
Sat Jun 19 15:44:32 2021	1624110272	0	28	28	28
Sat Jun 19 15:44:32 2021	1624110272	1	28	29	21
Sat Jun 19 15:44:32 2021	1624110272	3	26	29	24
Sat Jun 19 15:44:32 2021	1624110272	1	28	29	27
Sat Jun 19 15:44:32 2021	1624110272	0	29	29	29
Sat Jun 19 15:44:32 2021	1624110272	2	27	29	27
Sat Jun 19 15:44:32 2021	1624110272	2	27	29	24
Sat Jun 19 15:44:32 2021	1624110272	2	27	29	26
